"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Johnathan Kovacevic","24-25","N.J","D",9,194.1,1,3,1,5,8,15,26,0.46,12.5,6.67,3.07,9,11,3,12,16,2,1,0,0,-1,0,0,0
"Jon Merrill","24-25","MIN","D",6,81.12,0,0,1,1,3,4,8,0.05,0,0,1.25,9,6,0,4,12,0,0,0,0,0,0,0,0
"Jonas Brodin","24-25","MIN","D",6,136.17,0,0,3,3,13,16,23,0.32,0,0,2,18,4,1,6,9,1,1,0,0,0,0,0,0
"Jonas Siegenthaler","24-25","N.J","D",9,199.23,0,1,0,1,9,16,24,0.75,0,0,4.69,15,16,1,17,17,2,1,0,0,-1,0,0,0
"Jordan Harris","24-25","CBJ","D",3,39.47,0,0,0,0,2,4,4,0.04,0,0,1,4,3,1,1,11,2,0,0,0,-2,0,0,0
"Jordan Spence","24-25","L.A","D",6,112.7,0,2,1,3,4,10,16,0.26,0,0,2.6,9,11,2,7,9,2,0,0,0,-2,0,0,0
"Josh Mahura","24-25","SEA","D",3,36.95,0,0,0,0,4,6,8,0.13,0,0,2.17,0,5,1,3,7,1,0,0,0,-1,0,0,0
"Josh Manson","24-25","COL","D",7,127.68,0,2,1,3,14,17,26,0.31,0,0,1.82,13,11,2,16,6,4,4,0,0,0,0,0,0
"Josh Morrissey","24-25","WPG","D",6,142.75,1,3,3,7,12,24,38,0.75,8.33,4.17,3.12,13,5,2,3,3,2,1,0,0,-1,0,0,0
"Justin Barron","24-25","MTL","D",7,117.8,1,0,0,1,8,11,14,0.55,12.5,9.09,5,8,3,2,12,13,3,0,0,0,-3,0,0,0
"Justin Faulk","24-25","STL","D",7,166.7,1,1,2,4,6,8,19,0.22,16.67,12.5,2.75,10,9,2,10,5,1,0,0,0,-1,0,0,0
"Justin Holl","24-25","DET","D",4,68.3,0,1,0,1,1,1,2,0.06,0,0,6,7,6,0,0,2,1,0,0,0,-1,0,0,0
"Juuso Valimaki","24-25","UTA","D",7,138.37,0,0,0,0,7,10,18,0.55,0,0,5.5,9,13,6,3,21,1,0,0,0,-1,0,0,0
"K'Andre Miller","24-25","NYR","D",6,137.43,1,0,1,2,12,19,25,0.68,8.33,5.26,3.58,11,5,3,11,5,2,0,0,0,-2,0,0,0
"Kaedan Korczak","24-25","VGK","D",1,17.37,0,0,1,1,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0
"Kaiden Guhle","24-25","MTL","D",5,108.75,1,2,1,4,4,6,12,0.18,25,16.67,3,20,7,1,7,11,1,0,0,0,-1,0,0,0
"Kevin Bahl","24-25","CGY","D",6,122.7,0,1,1,2,7,13,19,0.35,0,0,2.69,6,7,1,10,8,1,0,0,0,-1,0,0,0
"Kris Letang","24-25","PIT","D",8,185.92,2,1,0,3,15,19,33,0.66,13.33,10.53,3.47,6,12,4,14,6,4,2,0,0,-2,0,0,0
"Kyle Burroughs","24-25","L.A","D",4,59.18,0,1,0,1,1,2,6,0.03,0,0,1.5,2,4,1,8,15,2,1,1,1,-1,0,0,0
"Lane Hutson","24-25","MTL","D",7,162.92,0,1,3,4,5,12,20,0.49,0,0,4.08,14,8,5,5,15,4,0,0,0,-4,0,0,0
"Logan Mailloux","24-25","MTL","D",2,38.53,1,0,0,1,5,5,9,0.14,20,20,2.8,3,3,0,2,5,1,0,0,0,-1,0,0,0
"Logan Stanley","24-25","WPG","D",2,33.33,0,0,1,1,2,3,5,0.05,0,0,1.67,6,1,0,0,1,0,0,0,0,0,0,0,0
"Luke Schenn","24-25","NSH","D",6,83.93,1,0,0,1,4,5,14,0.09,25,20,1.8,7,4,3,17,4,1,0,1,1,-1,0,0,0
